"Country","Freq"
"Gambia",8.5
"Mali",10
"Burkina Faso",15
"Ghana",16.7
"Nigeria",17.1
"Cameroon",20.4
"Malawi",30.7
"Tanzania",27.4
"Kenya",15.8
"Vietnam",1.5
"Rwanda",15.1
"Guinea",20.8
"Yemen",26.3
"Congo",54.8
